"BSI";"Name";"Start";"End";
"1";"Project Start";"2025-01-18";"2025-01-18";
"2";"Run cables on second floor";"2025-01-18";"2025-01-24";
"2.1";"  Plan in details and do all purchases";"2025-01-18";"2025-01-20";
"2.2";"  Test the walls and run the cables";"2025-01-20";"2025-01-23";
"2.3";"  Finish the cabling phase";"2025-01-23";"2025-01-24";
"3";"Finish Studio Room";"2025-01-24";"2025-01-31";
"3.1";"  Prep the room";"2025-01-24";"2025-01-28";
"3.1.1";"    Move all stuff";"2025-01-24";"2025-01-27";
"3.1.2";"    Cover the room with plastic and covers";"2025-01-27";"2025-01-27";
"3.1.3";"    Patch and grind walls and ceiling";"2025-01-27";"2025-01-28";
"3.2";"  Paint and finish";"2025-01-28";"2025-01-31";
"3.2.1";"    Paint ceiling and prime wallls";"2025-01-28";"2025-01-29";
"3.2.2";"    Paint walls";"2025-01-29";"2025-01-30";
"3.2.3";"    Paint baseboard";"2025-01-30";"2025-01-31";
"4";"Reinstall all synth racks and cabling in Music Studio";"2025-01-31";"2025-02-05";
"4.1";"  Reinstall all synthesizers on the rack and connect audio";"2025-01-31";"2025-02-02";
"4.2";"  Setup all MIDI connectivity";"2025-02-02";"2025-02-03";
"4.3";"  Setup tape machines and test recording";"2025-02-03";"2025-02-05";
"5";"Establish datacenter with connectivity";"2025-01-31";"2025-03-12";
"5.1";"  Cleanup and move the stuff";"2025-01-31";"2025-02-05";
"5.1.1";"    Move the stuff";"2025-01-31";"2025-02-04";
"5.1.2";"    Clean the area";"2025-02-04";"2025-02-05";
"5.2";"  Refine and install computers";"2025-02-05";"2025-02-14";
"5.2.1";"    Enumerate, reinstall, and create inventory of all the PCs";"2025-02-05";"2025-02-12";
"5.2.2";"    Measure the power consumption and install additional circuit breakers";"2025-02-12";"2025-02-14";
"5.3";"  Install network in basement";"2025-02-05";"2025-02-10";
"5.3.1";"    Install switches and cables";"2025-02-05";"2025-02-06";
"5.3.2";"    Switch to new network and setup failover";"2025-02-06";"2025-02-07";
"5.3.3";"    Test the failover scenario";"2025-02-07";"2025-02-10";
"5.4";"  Start creating first clusters with K8N etc";"2025-02-10";"2025-03-12";
